GeneID	kTotal	kWithin	kOut	kDiff	colors	Rank	GeneNumber	Rank_ratio
CSF1R	0.00789842670328975	0.0078981446070876	2.82096202151166e-07	0.00789786251088545	grey	5801	12882	45
CSF2	0.000348628556354621	0.00034534410835644	3.28444799818135e-06	0.000342059660358259	grey	11394	12882	88.4
CSF2RB	0.000885771048056419	0.000835413384356314	5.03576637001043e-05	0.00078505572065621	grey	9762	12882	75.8
CSF3R	0.0465529583543732	0.0465527441623709	2.14192002363778e-07	0.0465525299703685	grey	2895	12882	22.5
CSGALNACT1	0.000874699983249031	0.000837652813841093	3.70471694079384e-05	0.000800605644433155	grey	9757	12882	75.7
CSGALNACT2	0.326647559644049	0.126446875688543	0.200200683955507	-0.0737538082669643	grey	1491	12882	11.6
CSK	0.705493081077449	0.282121321030678	0.423371760046771	-0.141250439016092	grey	698	12882	5.4
CSMD1	0.0769582991210111	0.0769544570735236	3.8420474874068e-06	0.0769506150260362	grey	2169	12882	16.8
CSMD2	0.0367109615797948	0.0367060796387105	4.88194108436146e-06	0.0367011976976261	grey	3258	12882	25.3
CSNK1A1	0.0251909164269181	0.0229098103834237	0.00228110604349438	0.0206287043399293	grey	4027	12882	31.3
CSNK1A1L	0.000505347220266575	0.000505318631605142	2.85886614327571e-08	0.00050529004294371	grey	10696	12882	83
CSNK1A1P1	0.00469049234728659	0.00468743295370417	3.05939358242243e-06	0.00468437356012174	grey	6663	12882	51.7
CSNK1E	0.0411857921856887	0.0232817875440241	0.0179040046416646	0.00537778290235954	grey	3999	12882	31
CSNK1G1	0.0134209431572117	0.0120939700015794	0.00132697315563226	0.0107669968459472	grey	5100	12882	39.6
CSNK1G2	0.169929542536653	0.159266844667318	0.0106626978693357	0.148604146797982	grey	1218	12882	9.5
CSNK1G2-AS1	0.0019710425836114	0.00181798011791095	0.000153062465700452	0.0016649176522105	grey	8352	12882	64.8
CSNK1G3	1.18888942197624	0.612011334253147	0.576878087723094	0.0351332465300527	grey	272	12882	2.1
CSNK2A1	0.00175557580278478	0.00169368776234459	6.1888040440198e-05	0.00163179972190439	grey	8484	12882	65.9
CSNK2A2	0.0020247163895317	0.00202319278494708	1.52360458462175e-06	0.00202166918036246	grey	8137	12882	63.2
CSPG4	0.00234328802270543	0.00232574818934079	1.75398333646356e-05	0.00230820835597616	grey	7902	12882	61.3
CSPG5	0.000863487552155605	0.000863304866901401	1.82685254204121e-07	0.000863122181647196	grey	9698	12882	75.3
CSPP1	0.03268377582069	0.0247043534591565	0.00797942236153348	0.016724931097623	grey	3889	12882	30.2
CSRNP2	0.00303446938365939	0.00214526625699409	0.000889203126665303	0.00125606313032879	grey	8039	12882	62.4
CSRP1	0.104806508624168	0.0646842339932256	0.0401222746309425	0.0245619593622831	grey	2428	12882	18.8
CSRP2	0.00209320160780527	0.0019671637408314	0.00012603786697387	0.00184112587385753	grey	8190	12882	63.6
CST3	0.139224923346075	0.139222196114725	2.72723134997488e-06	0.139219468883375	grey	1364	12882	10.6
