gene	type
LOC101927777	im_GMK
EPS8L1	im_GMK
HOXB2	im_GMK
OSMR	im_GMK
FGFR1	im_GMK
SOD2	im_GMK
TCIRG1	im_GMK
NHP2L1	im_GMK
RNF157	im_GMK
NUDCD3	im_GMK
FMNL1	im_GMK
KIAA0825	im_GMK
IVNS1ABP	im_GMK
VEZT	im_GMK
NLRP14	im_GMK
RPS28	im_GMK
FAM115C	im_GMK
ZYX	im_GMK
SECISBP2L	im_GMK
RASA1	im_GMK
NANOS1	im_GMK
UBE2K	im_GMK
NOL4L	im_GMK
LOC102725453	im_GMK
CDS1	im_GMK
GLIPR1L2	im_GMK
ART4	im_GMK
HBD	im_GMK
BCL3	im_GMK
PLCL1	im_GMK
TMEM221	im_GMK
NPL	im_GMK
RDH12	im_GMK
AKNA	im_GMK
DHX32	im_GMK
SNRNP40	im_GMK
STAT5B	im_GMK
FAM9B	im_GMK
AFAP1L2	im_GMK
MST4	im_GMK
TMEM80	im_GMK
TTC7B	im_GMK
SH3BGRL3	im_GMK
RAB27B	im_GMK
CCDC125	im_GMK
GNB2L1	im_GMK
SLC22A10	im_GMK
CD7	im_GMK
ST3GAL5	im_GMK
OR7C2	im_GMK
TRMT112	im_GMK
MCC	im_GMK
MCCC1	im_GMK
PACSIN2	im_GMK
TMEM87B	im_GMK
FTH1	im_GMK
TGFBR1	im_GMK
ARL11	im_GMK
TMCO3	im_GMK
KRTAP10-10	im_GMK
LMNA	im_GMK
CBLB	im_GMK
S1PR4	im_GMK
NUS1	im_GMK
SLC6A3	im_GMK
SUGP1	im_GMK
PLXNC1	im_GMK
R3HCC1L	im_GMK
SPNS2	im_GMK
HNRNPLL	im_GMK
PPP1R35	im_GMK
RPL28	im_GMK
ITM2C	im_GMK
CCDC9	im_GMK
RAB3GAP1	im_GMK
C2orf66	im_GMK
CEACAM3	im_GMK
TFDP2	im_GMK
BACH2	im_GMK
NARS	im_GMK
ARMC7	im_GMK
PRSS56	im_GMK
TBC1D3C	im_GMK
ZNF664	im_GMK
RNF5	im_GMK
SMARCD1	im_GMK
PROM2	im_GMK
HTRA4	im_GMK
LOC101929959	im_GMK
NNT	im_GMK
INTS9	im_GMK
CD163	im_GMK
CD5	im_GMK
PMS2	im_GMK
YME1L1	im_GMK
ST3GAL6	im_GMK
LOC101059906	im_GMK
CYP27B1	im_GMK
FAM155B	im_GMK
LOC388210	im_GMK
LOC100996412	im_GMK
RAB44	im_GMK
AKT1S1	im_GMK
FKBP11	im_GMK
SDCCAG8	im_GMK
IGFBP4	im_GMK
C7orf60	im_GMK
ITGBL1	im_GMK
SLC25A6	im_GMK
ARL8B	im_GMK
SYDE2	im_GMK
ATP10A	im_GMK
UBOX5	im_GMK
FBLN1	im_GMK
SLC8A1	im_GMK
TMED7-TICAM2	im_GMK
ACSBG1	im_GMK
LPPR4	im_GMK
MOB3C	im_GMK
TRIM58	im_GMK
GSTM5	im_GMK
NOP14	im_GMK
EGFL8	im_GMK
PDCL	im_GMK
SATL1	im_GMK
EOMES	im_GMK
CAMK2N2	im_GMK
C19orf38	im_GMK
SCD5	im_GMK
PRR15	im_GMK
TPK1	im_GMK
MARVELD2	im_GMK
PRIMA1	im_GMK
CCDC126	im_GMK
RASAL3	im_GMK
LRRC28	im_GMK
MYH6	im_GMK
CHP2	im_GMK
MAFA	im_GMK
C8orf44	im_GMK
ZAP70	im_GMK
HPDL	im_GMK
GATA4	im_GMK
NKIRAS2	im_GMK
WNT3A	im_GMK
KIR2DL5A	im_GMK
CALCR	im_GMK
PTPRJ	im_GMK
MTRF1L	im_GMK
LOC100130927	im_GMK
FERMT1	im_GMK
C10orf35	im_GMK
SUCLA2	im_GMK
LRRC24	im_GMK
P2RX5	im_GMK
LOC102725136	im_GMK
TARBP1	im_GMK
BTN3A1	im_GMK
RNF144A	im_GMK
PRKAB2	im_GMK
IPCEF1	im_GMK
FOXP1	im_GMK
RNF20	im_GMK
ELL3	im_GMK
TMUB1	im_GMK
TTPAL	im_GMK
LOC143286	im_GMK
ADRB2	im_GMK
GSC2	im_GMK
ZNF517	im_GMK
ICMT	im_GMK
LRRTM1	im_GMK
GLTSCR2	im_GMK
POLDIP3	im_GMK
CRLF2	im_GMK
MCTP2	im_GMK
WBSCR27	im_GMK
NCR3	im_GMK
GCH1	im_GMK
SYT12	im_GMK
PPARD	im_GMK
KCTD15	im_GMK
LMX1B	im_GMK
MRPS27	im_GMK
PRODH	im_GMK
KIAA1804	im_GMK
AMBRA1	im_GMK
SLC22A15	im_GMK
SERPINB9	im_GMK
ACVR2A	im_GMK
CD109	im_GMK
DPM2	im_GMK
TAGLN	im_GMK
ILF3	im_GMK
CTIF	im_GMK
RCC2	im_GMK
LOC100130540	im_GMK
MYBL1	im_GMK
ARX	im_GMK
GET4	im_GMK
NSMAF	im_GMK
IER5L	im_GMK
YWHAZ	im_GMK
ASAP3	im_GMK
CTLA4	im_GMK
MED14	im_GMK
CHUK	im_GMK
TREML1	im_GMK
PYCR2	im_GMK
TMEM71	im_GMK
OPALIN	im_GMK
DHRS13	im_GMK
RASGRP2	im_GMK
MAPKAP1	im_GMK
CAPG	im_GMK
EDC4	im_GMK
